XCoord,YCoord,order_,id,state,latitude,longitude,PD_year,PD_month,PD_day,PD_yday,NAME,P_Date
-95.300642,39.83194,1492,KS-6108-A-2014,KS,39.83194,-95.300642,2014,may,3,123,Doniphan,25-Apr
-95.326567,39.838429,1493,KS-6108-B-2014,KS,39.838429,-95.326567,2014,may,2,122,Doniphan,25-Apr
-95.045065,39.735438,1494,KS-6108-C-2014,KS,39.735438,-95.045065,2014,may,10,130,Doniphan,25-Apr
-95.335718,39.854025,1495,KS-6109-A-2015,KS,39.854025,-95.335718,2015,may,2,122,Doniphan,25-Apr
-95.336176,39.845929,1496,KS-6109-B-2015,KS,39.845929,-95.336176,2015,may,1,121,Doniphan,25-Apr
-95.3357,39.83815,1497,KS-6109-C-2015,KS,39.83815,-95.3357,2015,may,5,125,Doniphan,25-Apr
-95.326341,39.831188,1498,KS-6109-D-2015,KS,39.831188,-95.326341,2015,may,3,123,Doniphan,25-Apr
-98.406981,38.81065,1499,KS-6110-B-2015,KS,38.81065,-98.406981,2015,jun,20,171,Ellsworth,25-Apr
-98.428919,38.762668,1500,KS-6111-A-2014,KS,38.762668,-98.428919,2014,may,12,132,Ellsworth,25-Apr
-98.407293,38.775281,1501,KS-6111-B-2014,KS,38.775281,-98.407293,2014,may,18,138,Ellsworth,25-Apr
-98.401609,38.787044,1502,KS-6111-C-2014,KS,38.787044,-98.401609,2014,may,18,138,Ellsworth,25-Apr
-97.172267,39.08843,1503,KS-7348-A-2015,KS,39.08843,-97.172267,2015,jun,11,162,Dickinson,25-Apr
-97.21264,39.058316,1504,KS-7348-B-2015,KS,39.058316,-97.21264,2015,jun,12,163,Dickinson,25-Apr
-97.202528,39.088429,1505,KS-7348-C-2015,KS,39.088429,-97.202528,2015,jun,12,163,Dickinson,25-Apr
-97.16271,39.102681,1506,KS-7348-D-2015,KS,39.102681,-97.16271,2015,jun,20,171,Dickinson,25-Apr
-97.202528,39.088429,1507,KS-7349-A-2014,KS,39.088429,-97.202528,2014,may,25,145,Dickinson,25-Apr
-97.151407,39.069687,1508,KS-7349-C-2014,KS,39.069687,-97.151407,2014,may,26,146,Dickinson,25-Apr
-95.498351,39.073083,1509,KS-7502-D-2015,KS,39.073083,-95.498351,2015,jun,13,164,Jefferson,25-Apr
-97.434,38.707,1510,KS-8085-A-2014,KS,38.707,-97.434,2014,jun,20,171,Saline,25-Apr
-97.466,38.626,1511,KS-8085-B-2014,KS,38.626,-97.466,2014,jun,19,170,Saline,25-Apr
-97.431,38.629,1512,KS-8085-C-2014,KS,38.629,-97.431,2014,jul,6,187,Saline,25-Apr
-97.421,38.722,1513,KS-8085-D-2014,KS,38.722,-97.421,2014,jul,5,186,Saline,25-Apr
-97.431,38.69,1514,KS-8086-A-2015,KS,38.69,-97.431,2015,jul,2,183,Saline,25-Apr
-97.450176,38.631988,1515,KS-8086-B-2015,KS,38.631988,-97.450176,2015,jun,8,159,Saline,25-Apr
-97.457765,38.637252,1516,KS-8086-C-2015,KS,38.637252,-97.457765,2015,jun,8,159,Saline,25-Apr
-97.420471,38.719154,1517,KS-8086-D-2015,KS,38.719154,-97.420471,2015,jun,9,160,Saline,25-Apr
-97.399816,38.665697,1518,KS-8087-A-2014,KS,38.665697,-97.399816,2014,NA,NA,NA,Saline,25-Apr
-97.393786,38.660906,1519,KS-8087-B-2014,KS,38.660906,-97.393786,2014,NA,NA,NA,Saline,25-Apr
-97.385143,38.651548,1520,KS-8087-C-2014,KS,38.651548,-97.385143,2014,jun,15,166,Saline,25-Apr
-97.392065,38.661846,1521,KS-8087-D-2014,KS,38.661846,-97.392065,2014,NA,NA,NA,Saline,25-Apr
-97.406205,38.663357,1522,KS-8088-A-2015,KS,38.663357,-97.406205,2015,jun,22,173,Saline,25-Apr
-97.39195,38.661892,1523,KS-8088-B-2015,KS,38.661892,-97.39195,2015,jun,22,173,Saline,25-Apr
-97.395042,38.644831,1524,KS-8088-C-2015,KS,38.644831,-97.395042,2015,jun,19,170,Saline,25-Apr
-97.429806,38.655234,1525,KS-8088-D-2015,KS,38.655234,-97.429806,2015,jun,18,169,Saline,25-Apr
-95.463883,39.453419,1526,KS-8089-A-2015,KS,39.453419,-95.463883,2015,jun,10,161,Atchison,25-Apr
-95.483095,39.480478,1527,KS-8089-B-2015,KS,39.480478,-95.483095,2015,jun,20,171,Atchison,25-Apr
-95.48033,39.462523,1528,KS-8089-C-2015,KS,39.462523,-95.48033,2015,jun,19,170,Atchison,25-Apr
-95.514561,39.430606,1529,KS-8090-A-2014,KS,39.430606,-95.514561,2014,may,5,125,Atchison,25-Apr
-95.424778,39.439156,1530,KS-8090-B-2014,KS,39.439156,-95.424778,2014,may,20,140,Atchison,25-Apr
-95.314069,39.277252,1531,KS-8091-A-2015,KS,39.277252,-95.314069,2015,may,27,147,Jefferson,25-Apr
-95.303493,39.334679,1532,KS-8091-B-2015,KS,39.334679,-95.303493,2015,may,27,147,Jefferson,25-Apr
-95.239586,39.386877,1533,KS-8091-C-2015,KS,39.386877,-95.239586,2015,jun,4,155,Jefferson,25-Apr
-95.278356,39.30904,1534,KS-8092-A-2014,KS,39.30904,-95.278356,2014,may,20,140,Jefferson,25-Apr
-95.325425,39.283494,1535,KS-8092-B-2014,KS,39.283494,-95.325425,2014,may,21,141,Jefferson,25-Apr
-95.51,39.76,1536,KS-8093-A-2015,KS,39.76,-95.51,2015,jun,10,161,Brown,25-Apr
-95.484453,39.730824,1537,KS-8093-B-2015,KS,39.730824,-95.484453,2015,jun,12,163,Brown,25-Apr
-95.510058,39.736438,1538,KS-8093-C-2015,KS,39.736438,-95.510058,2015,jun,18,169,Brown,25-Apr
-95.448896,39.731707,1539,KS-8093-D-2015,KS,39.731707,-95.448896,2015,jun,15,166,Brown,25-Apr
-95.51,39.76,1540,KS-8094-A-2014,KS,39.76,-95.51,2014,may,8,128,Brown,25-Apr
-95.484453,39.730824,1541,KS-8094-B-2014,KS,39.730824,-95.484453,2014,may,15,135,Brown,25-Apr
-95.513935,39.736333,1542,KS-8094-C-2014,KS,39.736333,-95.513935,2014,may,9,129,Brown,25-Apr
-95.447711,39.72901,1543,KS-8094-D-2014,KS,39.72901,-95.447711,2014,may,20,140,Brown,25-Apr
-95.897083,39.584274,1544,KS-8098-A-2014,KS,39.584274,-95.897083,2014,NA,NA,NA,Nemaha,25-Apr
-96.26324,39.643258,1545,KS-8098-B-2014,KS,39.643258,-96.26324,2014,NA,NA,NA,Marshall,25-Apr
-96.246086,39.636414,1546,KS-8098-C-2014,KS,39.636414,-96.246086,2014,NA,NA,NA,Marshall,25-Apr
-96.264356,39.634124,1547,KS-8098-D-2014,KS,39.634124,-96.264356,2014,NA,NA,NA,Marshall,25-Apr
-96.167939,39.657256,1548,KS-8099-A-2015,KS,39.657256,-96.167939,2015,jun,10,161,Nemaha,25-Apr
-96.12066,39.699914,1549,KS-8099-B-2015,KS,39.699914,-96.12066,2015,jun,22,173,Nemaha,25-Apr
-96.241875,39.633988,1550,KS-8099-C-2015,KS,39.633988,-96.241875,2015,jun,24,175,Marshall,25-Apr
-96.064658,39.679283,1551,KS-8099-D-2015,KS,39.679283,-96.064658,2015,jun,23,174,Nemaha,25-Apr
-97.332461,38.854718,1552,KS-8100-A-2015,KS,38.854718,-97.332461,2015,NA,NA,NA,Dickinson,25-Apr
-97.166072,38.787942,1553,KS-8100-B-2015,KS,38.787942,-97.166072,2015,NA,NA,NA,Dickinson,25-Apr
-97.377353,38.898617,1554,KS-8100-C-2015,KS,38.898617,-97.377353,2015,NA,NA,NA,Saline,25-Apr
-97.358351,38.872703,1555,KS-8100-D-2015,KS,38.872703,-97.358351,2015,NA,NA,NA,Dickinson,25-Apr
-97.299582,39.012146,1556,KS-8101-A-2014,KS,39.012146,-97.299582,2014,may,10,130,Dickinson,25-Apr
-97.289611,38.892239,1557,KS-8101-B-2014,KS,38.892239,-97.289611,2014,jun,2,153,Dickinson,25-Apr
-97.387405,38.902159,1558,KS-8101-C-2014,KS,38.902159,-97.387405,2014,may,19,139,Saline,25-Apr
-97.406975,38.852392,1559,KS-8101-D-2014,KS,38.852392,-97.406975,2014,may,31,151,Saline,25-Apr
-95.293644,39.461083,1560,KS-8102-A-2015,KS,39.461083,-95.293644,2015,jun,25,176,Atchison,25-Apr
-95.288997,39.475821,1561,KS-8102-B-2015,KS,39.475821,-95.288997,2015,NA,NA,NA,Atchison,25-Apr
-95.289622,39.46143,1562,KS-8103-A-2014,KS,39.46143,-95.289622,2014,may,5,125,Atchison,25-Apr
-95.288997,39.475821,1563,KS-8103-B-2014,KS,39.475821,-95.288997,2014,may,6,126,Atchison,25-Apr
-95.529426,38.154965,1564,KS-8104-A-2015,KS,38.154965,-95.529426,2015,jun,25,176,Coffey,15-Apr
-95.564767,39.081778,1565,KS-8104-B-2015,KS,39.081778,-95.564767,2015,jun,11,162,Jefferson,25-Apr
-95.446634,39.073505,1566,KS-8104-C-2015,KS,39.073505,-95.446634,2015,jun,15,166,Jefferson,25-Apr
-95.503775,39.069257,1567,KS-8104-D-2015,KS,39.069257,-95.503775,2015,jun,13,164,Jefferson,25-Apr
-96.980689,39.368971,1568,KS-8106-A-2015,KS,39.368971,-96.980689,2015,may,13,133,Clay,25-Apr
-96.937969,39.447102,1569,KS-8106-B-2015,KS,39.447102,-96.937969,2015,jun,2,153,Riley,25-Apr
-96.966771,39.441175,1570,KS-8106-C-2015,KS,39.441175,-96.966771,2015,jun,8,159,Clay,25-Apr
-96.940058,39.369439,1571,KS-8106-D-2015,KS,39.369439,-96.940058,2015,jun,9,160,Riley,25-Apr
-95.606548,39.694359,1572,KS-8107-A-2015,KS,39.694359,-95.606548,2015,jun,20,171,Brown,25-Apr
-95.606917,39.772809,1573,KS-8107-B-2015,KS,39.772809,-95.606917,2015,jun,19,170,Brown,25-Apr
-95.622833,39.765243,1574,KS-8107-C-2015,KS,39.765243,-95.622833,2015,jun,30,181,Brown,25-Apr
-95.653688,39.79356,1575,KS-8107-D-2015,KS,39.79356,-95.653688,2015,jun,22,173,Brown,25-Apr
-95.615705,39.779529,1576,KS-8108-A-2014,KS,39.779529,-95.615705,2014,may,20,140,Brown,25-Apr
-95.615377,39.794253,1577,KS-8108-B-2014,KS,39.794253,-95.615377,2014,may,19,139,Brown,25-Apr
-95.598799,39.765816,1578,KS-8108-C-2014,KS,39.765816,-95.598799,2014,may,21,141,Brown,25-Apr
-95.627291,39.786993,1579,KS-8108-D-2014,KS,39.786993,-95.627291,2014,may,19,139,Brown,25-Apr
-95.379946,39.731352,1580,KS-8110-A-2015,KS,39.731352,-95.379946,2015,may,3,123,Brown,25-Apr
-95.381678,39.736811,1581,KS-8110-B-2015,KS,39.736811,-95.381678,2015,jun,8,159,Brown,25-Apr
-95.343291,39.69283,1582,KS-8110-C-2015,KS,39.69283,-95.343291,2015,jun,20,171,Brown,25-Apr
-95.359843,39.713759,1583,KS-8110-D-2015,KS,39.713759,-95.359843,2015,jun,30,181,Brown,25-Apr
-95.38104,39.738265,1584,KS-8111-A-2014,KS,39.738265,-95.38104,2014,may,8,128,Brown,25-Apr
-95.347523,39.694225,1585,KS-8111-B-2014,KS,39.694225,-95.347523,2014,may,10,130,Brown,25-Apr
-95.365489,39.717041,1586,KS-8111-C-2014,KS,39.717041,-95.365489,2014,may,2,122,Brown,25-Apr
-95.447679,39.722581,1587,KS-8111-D-2014,KS,39.722581,-95.447679,2014,apr,30,120,Brown,25-Apr
-95.592544,39.086025,1588,KS-8116-A-2015,KS,39.086025,-95.592544,2015,jun,12,163,Jefferson,25-Apr
-95.558476,39.071418,1589,KS-8116-B-2015,KS,39.071418,-95.558476,2015,jun,2,153,Jefferson,25-Apr
-95.588532,39.071049,1590,KS-8116-D-2015,KS,39.071049,-95.588532,2015,jun,3,154,Jefferson,25-Apr
-98.285197,38.734836,1591,KS-8117-A-2014,KS,38.734836,-98.285197,2014,may,11,131,Ellsworth,25-Apr
-98.278666,38.735515,1592,KS-8117-B-2014,KS,38.735515,-98.278666,2014,may,6,126,Ellsworth,25-Apr
-98.247879,38.728958,1593,KS-8117-C-2014,KS,38.728958,-98.247879,2014,may,6,126,Ellsworth,25-Apr
-98.256968,38.727073,1594,KS-8117-D-2014,KS,38.727073,-98.256968,2014,may,10,130,Ellsworth,25-Apr
-98.270181,38.731465,1595,KS-8118-A-2015,KS,38.731465,-98.270181,2015,jun,3,154,Ellsworth,25-Apr
-98.298415,38.72925,1596,KS-8118-B-2015,KS,38.72925,-98.298415,2015,jun,4,155,Ellsworth,25-Apr
-98.247777,38.731981,1597,KS-8118-C-2015,KS,38.731981,-98.247777,2015,jun,2,153,Ellsworth,25-Apr
-98.362466,38.802783,1598,KS-8118-D-2015,KS,38.802783,-98.362466,2015,jun,10,161,Ellsworth,25-Apr
-95.526422,39.138346,1599,KS-8119-A-2014,KS,39.138346,-95.526422,2014,may,5,125,Jefferson,25-Apr
-95.546124,39.148939,1600,KS-8119-B-2014,KS,39.148939,-95.546124,2014,may,15,135,Jefferson,25-Apr
-95.575268,39.167554,1601,KS-8119-C-2014,KS,39.167554,-95.575268,2014,may,28,148,Jefferson,25-Apr
-95.575566,39.183991,1602,KS-8120-A-2014,KS,39.183991,-95.575566,2014,jun,28,179,Jefferson,25-Apr
-95.492393,39.067121,1603,KS-8120-C-2014,KS,39.067121,-95.492393,2014,jun,1,152,Jefferson,25-Apr
-95.545643,39.084434,1604,KS-8120-D-2014,KS,39.084434,-95.545643,2014,jun,25,176,Jefferson,25-Apr
-97.137346,37.874887,1605,KS-8269-A-2016,KS,37.874887,-97.137346,2016,jun,10,162,Butler,15-Apr
-95.381569,39.72224,1606,KS-8270-A-2016,KS,39.72224,-95.381569,2016,jun,3,155,Brown,25-Apr
-96.058618,39.81311,1607,KS-8271-A-2016,KS,39.81311,-96.058618,2016,may,7,128,Nemaha,25-Apr
-95.754763,39.837403,1608,KS-8272-A-2016,KS,39.837403,-95.754763,2016,may,18,139,Brown,25-Apr
-95.294049,39.324585,1609,KS-8273-A-2016,KS,39.324585,-95.294049,2016,may,14,135,Jefferson,25-Apr
-95.448497,39.730239,1610,KS-8274-A-2016,KS,39.730239,-95.448497,2016,may,23,144,Brown,25-Apr
-95.503974,39.98475,1611,KS-8275-A-2016,KS,39.98475,-95.503974,2016,may,5,126,Brown,25-Apr
-95.224904,39.344984,1612,KS-8276-A-2016,KS,39.344984,-95.224904,2016,apr,6,97,Jefferson,25-Apr
-97.40257,38.818525,1613,KS-8277-A-2016,KS,38.818525,-97.40257,2016,may,12,133,Saline,25-Apr
-97.438353,38.868111,1614,KS-8278-A-2016,KS,38.868111,-97.438353,2016,jun,11,163,Saline,25-Apr
-97.979002,37.99428,1615,KS-8279-A-2016,KS,37.99428,-97.979002,2016,may,5,126,Reno,15-Apr
-99.51304,39.935075,1616,KS-8280-A-2016,KS,39.935075,-99.51304,2016,may,5,126,Phillips,25-Apr
-95.641333,38.116791,1617,KS-8281-A-2016,KS,38.116791,-95.641333,2016,jun,7,159,Coffey,15-Apr
-95.598666,38.171216,1618,KS-8282-A-2016,KS,38.171216,-95.598666,2016,may,8,129,Coffey,15-Apr
-99.368088,39.245636,1619,KS-8283-A-2016,KS,39.245636,-99.368088,2016,jun,5,157,Rooks,25-Apr
-95.614205,39.562315,1620,KS-8284-A-2016,KS,39.562315,-95.614205,2016,may,19,140,Jackson,25-Apr
-98.701176,39.736997,1621,KS-8285-A-2016,KS,39.736997,-98.701176,2016,may,21,142,Smith,25-Apr
-98.602875,39.781664,1622,KS-8286-A-2016,KS,39.781664,-98.602875,2016,may,30,151,Smith,25-Apr
-97.057233,39.897675,1623,KS-8287-A-2016,KS,39.897675,-97.057233,2016,jun,10,162,Washington,25-Apr
-97.056856,39.894443,1624,KS-8288-A-2016,KS,39.894443,-97.056856,2016,jun,10,162,Washington,25-Apr
-97.142146,39.09482,1625,KS-8289-A-2016,KS,39.09482,-97.142146,2016,jun,12,164,Dickinson,25-Apr
